key	lnum	page	text
ISAna	91	0003	ISAna; ISAnaH SaSiSeKaraH paSupatiH SUlI SivaH SaNkaraH, SarvaH SamBurumApatiSca giriSaH SrIkaRWa ugro haraH . sarvajYastripurAntakastrinayano rudraH kapardI Bavo, BUteSaH parameSvaro'nDakaripurdakzADvaraDvaMsakft .. 11 .. sTARuH srazwA DUrjawirvAmadevaH, kAmaDvaMsI vyomakeSaH kapAlI . nIlagrIvo vahniretAH pinAkI, BImo BargaH kfttivAsA vfzANkaH .. 12 .. ahirbuDno virUpAkzaH Sipivizwo gaRADipaH . gaNgADaro mahAdevo mfqaH syAnnIlalohitaH .. 13 .. 1.1.1.11
SaSiSeKara	92	0003	SaSiSeKara; ISAnaH SaSiSeKaraH paSupatiH SUlI SivaH SaNkaraH, SarvaH SamBurumApatiSca giriSaH SrIkaRWa ugro haraH . sarvajYastripurAntakastrinayano rudraH kapardI Bavo, BUteSaH parameSvaro'nDakaripurdakzADvaraDvaMsakft .. 11 .. sTARuH srazwA DUrjawirvAmadevaH, kAmaDvaMsI vyomakeSaH kapAlI . nIlagrIvo vahniretAH pinAkI, BImo BargaH kfttivAsA vfzANkaH .. 12 .. ahirbuDno virUpAkzaH Sipivizwo gaRADipaH . gaNgADaro mahAdevo mfqaH syAnnIlalohitaH .. 13 .. 1.1.1.11
paSupati	93	0003	paSupati; ISAnaH SaSiSeKaraH paSupatiH SUlI SivaH SaNkaraH, SarvaH SamBurumApatiSca giriSaH SrIkaRWa ugro haraH . sarvajYastripurAntakastrinayano rudraH kapardI Bavo, BUteSaH parameSvaro'nDakaripurdakzADvaraDvaMsakft .. 11 .. sTARuH srazwA DUrjawirvAmadevaH, kAmaDvaMsI vyomakeSaH kapAlI . nIlagrIvo vahniretAH pinAkI, BImo BargaH kfttivAsA vfzANkaH .. 12 .. ahirbuDno virUpAkzaH Sipivizwo gaRADipaH . gaNgADaro mahAdevo mfqaH syAnnIlalohitaH .. 13 .. 1.1.1.11
SUlI	94	0003	SUlI; ISAnaH SaSiSeKaraH paSupatiH SUlI SivaH SaNkaraH, SarvaH SamBurumApatiSca giriSaH SrIkaRWa ugro haraH . sarvajYastripurAntakastrinayano rudraH kapardI Bavo, BUteSaH parameSvaro'nDakaripurdakzADvaraDvaMsakft .. 11 .. sTARuH srazwA DUrjawirvAmadevaH, kAmaDvaMsI vyomakeSaH kapAlI . nIlagrIvo vahniretAH pinAkI, BImo BargaH kfttivAsA vfzANkaH .. 12 .. ahirbuDno virUpAkzaH Sipivizwo gaRADipaH . gaNgADaro mahAdevo mfqaH syAnnIlalohitaH .. 13 .. 1.1.1.11
Siva	95	0003	Siva; ISAnaH SaSiSeKaraH paSupatiH SUlI SivaH SaNkaraH, SarvaH SamBurumApatiSca giriSaH SrIkaRWa ugro haraH . sarvajYastripurAntakastrinayano rudraH kapardI Bavo, BUteSaH parameSvaro'nDakaripurdakzADvaraDvaMsakft .. 11 .. sTARuH srazwA DUrjawirvAmadevaH, kAmaDvaMsI vyomakeSaH kapAlI . nIlagrIvo vahniretAH pinAkI, BImo BargaH kfttivAsA vfzANkaH .. 12 .. ahirbuDno virUpAkzaH Sipivizwo gaRADipaH . gaNgADaro mahAdevo mfqaH syAnnIlalohitaH .. 13 .. 1.1.1.11
SaNkara	96	0003	SaNkara; ISAnaH SaSiSeKaraH paSupatiH SUlI SivaH SaNkaraH, SarvaH SamBurumApatiSca giriSaH SrIkaRWa ugro haraH . sarvajYastripurAntakastrinayano rudraH kapardI Bavo, BUteSaH parameSvaro'nDakaripurdakzADvaraDvaMsakft .. 11 .. sTARuH srazwA DUrjawirvAmadevaH, kAmaDvaMsI vyomakeSaH kapAlI . nIlagrIvo vahniretAH pinAkI, BImo BargaH kfttivAsA vfzANkaH .. 12 .. ahirbuDno virUpAkzaH Sipivizwo gaRADipaH . gaNgADaro mahAdevo mfqaH syAnnIlalohitaH .. 13 .. 1.1.1.11
Sarva	97	0003	Sarva; ISAnaH SaSiSeKaraH paSupatiH SUlI SivaH SaNkaraH, SarvaH SamBurumApatiSca giriSaH SrIkaRWa ugro haraH . sarvajYastripurAntakastrinayano rudraH kapardI Bavo, BUteSaH parameSvaro'nDakaripurdakzADvaraDvaMsakft .. 11 .. sTARuH srazwA DUrjawirvAmadevaH, kAmaDvaMsI vyomakeSaH kapAlI . nIlagrIvo vahniretAH pinAkI, BImo BargaH kfttivAsA vfzANkaH .. 12 .. ahirbuDno virUpAkzaH Sipivizwo gaRADipaH . gaNgADaro mahAdevo mfqaH syAnnIlalohitaH .. 13 .. 1.1.1.11
SamBu	98	0003	SamBu; ISAnaH SaSiSeKaraH paSupatiH SUlI SivaH SaNkaraH, SarvaH SamBurumApatiSca giriSaH SrIkaRWa ugro haraH . sarvajYastripurAntakastrinayano rudraH kapardI Bavo, BUteSaH parameSvaro'nDakaripurdakzADvaraDvaMsakft .. 11 .. sTARuH srazwA DUrjawirvAmadevaH, kAmaDvaMsI vyomakeSaH kapAlI . nIlagrIvo vahniretAH pinAkI, BImo BargaH kfttivAsA vfzANkaH .. 12 .. ahirbuDno virUpAkzaH Sipivizwo gaRADipaH . gaNgADaro mahAdevo mfqaH syAnnIlalohitaH .. 13 .. 1.1.1.11
umApati	99	0003	umApati; ISAnaH SaSiSeKaraH paSupatiH SUlI SivaH SaNkaraH, SarvaH SamBurumApatiSca giriSaH SrIkaRWa ugro haraH . sarvajYastripurAntakastrinayano rudraH kapardI Bavo, BUteSaH parameSvaro'nDakaripurdakzADvaraDvaMsakft .. 11 .. sTARuH srazwA DUrjawirvAmadevaH, kAmaDvaMsI vyomakeSaH kapAlI . nIlagrIvo vahniretAH pinAkI, BImo BargaH kfttivAsA vfzANkaH .. 12 .. ahirbuDno virUpAkzaH Sipivizwo gaRADipaH . gaNgADaro mahAdevo mfqaH syAnnIlalohitaH .. 13 .. 1.1.1.11
giriSa	100	0003	giriSa; ISAnaH SaSiSeKaraH paSupatiH SUlI SivaH SaNkaraH, SarvaH SamBurumApatiSca giriSaH SrIkaRWa ugro haraH . sarvajYastripurAntakastrinayano rudraH kapardI Bavo, BUteSaH parameSvaro'nDakaripurdakzADvaraDvaMsakft .. 11 .. sTARuH srazwA DUrjawirvAmadevaH, kAmaDvaMsI vyomakeSaH kapAlI . nIlagrIvo vahniretAH pinAkI, BImo BargaH kfttivAsA vfzANkaH .. 12 .. ahirbuDno virUpAkzaH Sipivizwo gaRADipaH . gaNgADaro mahAdevo mfqaH syAnnIlalohitaH .. 13 .. 1.1.1.11
